"appearance_id","game_id","player_id","player_club_id","player_current_club_id","date","player_name","competition_id","yellow_cards","red_cards","goals","assists","minutes_played"
"2700665_74294",2700665,74294,610,368,"2016-09-11","Nemanja Gudelj","NL1",0,0,0,0,90
"2594636_296622",2594636,296622,714,405,"2015-12-30","Marco Asensio","ES1",0,0,0,0,90
"2887621_248935",2887621,248935,23611,39097,"2017-08-03","Pavlo Lukyanchuk","ELQ",0,0,0,0,45
"2921356_102581",2921356,102581,16704,16704,"2017-09-29","Sergey Petrov","RU1",0,0,0,0,90
"3394807_58295",3394807,58295,969,969,"2021-02-13","Petar Skuletic","FR1",0,0,0,0,10
"2713052_166575",2713052,166575,23611,60551,"2016-08-07","Zauri Makharadze","UKR1",0,0,0,0,90
"2668339_44068",2668339,44068,985,141,"2016-03-10","Juan Mata","EL",0,0,0,0,79
"3264454_91801",3264454,91801,2740,2740,"2019-12-14","Oleksandr Sklyar","UKR1",1,0,0,0,90
"2618547_141834",2618547,141834,720,150,"2015-09-16","Cristian Tello","CL",0,0,0,0,25
"2526224_72835",2526224,72835,1465,1465,"2015-04-19","Diogo Amado","PO1",1,0,0,0,90
"3462274_207929",3462274,207929,148,1047,"2020-10-22","Dele Alli","EL",0,0,0,0,28
"3602551_500067",3602551,500067,2410,368,"2022-02-26","Chidera Ejuke","RU1",1,0,0,0,15
"2698194_41112",2698194,41112,1010,683,"2016-12-10","Jose Cholevas","GB1",1,0,0,2,90
"2704486_143891",2704486,143891,60,60,"2017-01-29","Maximilian Philipp","L1",0,0,0,0,90
"3203671_57071",3203671,57071,23826,23826,"2020-05-24","Péter Gulácsi","L1",0,0,0,0,90
"2702826_23914",2702826,23914,244,583,"2016-12-21","Lassana Diarra","FR1",0,0,0,0,11
"2903728_54268",2903728,54268,2999,2999,"2017-09-16","David Templeton","SC1",0,0,0,1,52
"2486606_111630",2486606,111630,148,2441,"2014-12-03","Erik Lamela","GB1",0,0,0,0,74
"3136616_157506",3136616,157506,873,371,"2019-01-05","Jeffrey Schlupp","FAC",0,0,0,1,90
"2818515_189151",2818515,189151,1091,868,"2017-02-12","Stelios Kitsiou","GR1",0,0,0,0,90
"2923636_292775",2923636,292775,1301,553,"2017-12-21","Ricardo Valente","POCP",0,0,0,0,20
"2334985_127984",2334985,127984,2451,511,"2013-12-29","Josh Meekings","SC1",0,0,0,0,90
"3069944_292199",3069944,292199,449,449,"2019-04-05","Uğurcan Çakır","TR1",0,0,0,0,90
"3451041_107010",3451041,107010,13,449,"2020-12-19","Stefan Savic","ES1",0,0,0,0,90
"3081310_216569",3081310,216569,6574,417,"2019-03-16","Jérémie Boga","IT1",0,0,1,0,90
"2250305_93393",2250305,93393,1269,1269,"2012-12-08","Darryl Lachman","NL1",1,0,0,0,90
"3613210_55501",3613210,55501,19789,19789,"2022-05-21","Baris Basdas","TR1",0,1,0,0,23
"4095150_14086",4095150,14086,29,29,"2023-10-07","Ashley Young","GB1",1,0,0,0,90
"2482456_29434",2482456,29434,583,618,"2015-05-08","Yohan Cabaye","FR1",0,0,0,0,69
"2875090_189989",2875090,189989,865,5817,"2017-07-16","Simon Kroon","DK1",1,0,0,0,90
"3886593_390688",3886593,390688,3709,3709,"2023-03-19","Juan Iglesias","ES1",0,0,0,0,28
"2897471_85825",2897471,85825,800,1091,"2017-12-23","Jasmin Kurtic","IT1",0,0,0,0,10
"3592035_53622",3592035,53622,281,281,"2021-11-21","İlkay Gündoğan","GB1",0,0,0,0,90
"2224570_89082",2224570,89082,206,206,"2012-07-30","Franck Semou","DK1",1,0,0,1,90
"3828424_525990",3828424,525990,5724,5817,"2022-07-31","Tobias Klysner","DK1",0,0,0,0,7
"2332079_35099",2332079,35099,289,1519,"2013-11-10","Steven Fletcher","GB1",0,0,0,0,77
"2701642_60561",2701642,60561,1041,995,"2016-09-21","Anthony Lopes","FR1",0,0,0,0,90
"3714014_202591",3714014,202591,23826,23826,"2022-02-17","Benjamin Henrichs","EL",0,0,0,0,45
"2456475_54928",2456475,54928,13,1390,"2014-05-24","Diego Godín","CL",1,0,1,0,120
"2385084_45970",2385084,45970,1091,2671,"2014-02-20","Stefanos Athanasiadis","EL",0,0,0,0,90
"3223079_50483",3223079,50483,868,868,"2019-10-19","Korcan Celikay","TR1",0,0,0,0,90
"2351941_236785",2351941,236785,5220,2671,"2013-08-31","Chrysovalantis Kozoronis","GR1",1,0,0,0,90
"3852647_575693",3852647,575693,467,415,"2023-01-21","Ibrahim Cissoko","NL1",0,0,1,0,75
"2604247_80351",2604247,80351,430,800,"2016-03-04","Josip Ilicic","IT1",0,0,1,0,67
"2578178_50219",2578178,50219,31,2282,"2016-03-02","Simon Mignolet","GB1",0,0,0,0,90
"3426878_216603",3426878,216603,6890,36,"2020-11-21","İrfan Can Kahveci","TR1",0,0,0,0,76
"3607621_142031",3607621,142031,1531,237,"2022-01-10","Omar Mascarell","ES1",0,0,0,0,90
"4120924_61813",4120924,61813,987,987,"2023-11-11","Calum Butcher","SC1",1,0,0,0,90
"4120713_213974",4120713,213974,55686,6992,"2024-03-02","Artem Gabelok","UKR1",1,0,0,0,90
"4094818_1247360",4094818,1247360,3524,3524,"2024-03-31","Ivan M'Bahia","FR1",1,0,0,0,13
"3130834_34296",3130834,34296,169,169,"2019-01-30","Athanasios Papageorgiou","GR1",0,0,0,0,90
"2875141_61763",2875141,61763,190,190,"2017-09-17","Michael Lüftner","DK1",0,0,0,0,90
"2640896_45161",2640896,45161,3508,29228,"2015-11-27","Mbaye Leye","BE1",0,0,0,0,90
"3426673_332049",3426673,332049,19789,19789,"2020-09-18","Issam Chebake","TR1",1,0,0,0,90
"2510835_59083",2510835,59083,2740,2740,"2015-02-28","Oleg Barannik","UKR1",0,0,0,0,80
"4272773_381724",4272773,381724,16704,16704,"2024-04-24","Victor Sá","RU1",0,0,0,0,90
"3890177_467437",3890177,467437,124,383,"2022-12-15","Malik Tillman","SC1",0,0,0,2,87
"2335093_66521",2335093,66521,2410,499,"2013-08-18","Keisuke Honda","RU1",0,0,0,1,90
"3069991_133078",3069991,133078,10484,833,"2019-05-12","Syam Ben Youssef","TR1",0,0,1,0,90
"3969494_463760",3969494,463760,465,465,"2023-01-21","Ethan Erhahon","SFA",0,0,0,0,74
"3433413_92899",3433413,92899,410,410,"2021-02-21","Marvin Zeegelaar","IT1",1,0,0,0,67
"3081341_39828",3081341,39828,130,130,"2019-04-06","Antonino Barillà","IT1",0,0,0,0,90
"2459831_187245",2459831,187245,403,385,"2015-03-21","Mitchell Dijks","NL1",0,0,0,0,90
"4445055_406625",4445055,406625,46,46,"2025-01-29","Lautaro Martínez","CL",0,0,3,0,76
"4121020_276914",4121020,276914,124,124,"2024-04-07","Scott Wright","SC1",0,0,0,0,45
"3431935_111819",3431935,111819,131,11,"2020-10-01","Neto","ES1",0,0,0,0,90
