"player_id","transfer_date","transfer_season","from_club_id","to_club_id","from_club_name","to_club_name","transfer_fee","market_value_in_eur","player_name"
131075,"2011-06-01","10/11",1386,252,"Reggina","Genoa",3200000,3e+06,"Francesco Acerbi"
603940,"2024-06-30","23/24",472,6767,"UD Las Palmas","RM Castilla",0,2e+06,"Marvin Park"
572818,"2024-09-12","24/25",6984,3719,"Once Caldas","Khimki",0,8e+05,"Robert Mejía"
36898,"2015-07-22","15/16",44,76,"Hertha BSC","Vålerenga",0,1e+05,"Sascha Burchert"
1069449,"2024-01-04","23/24",33614,899,"Norwich U21","Walsall",0,75000,"Emmanuel Adegboyega"
321247,"2025-06-30","24/25",15,405,"B. Leverkusen","Aston Villa",0,1.8e+07,"Emiliano Buendía"
203746,"2019-08-06","19/20",969,162,"Montpellier","Monaco",8e+06,8e+06,"Ruben Aguilar"
466810,"2024-06-30","23/24",1237,131,"Brighton","Barcelona",0,2.5e+07,"Ansu Fati"
340328,"2020-07-01","20/21",41101,969,"Juventus U23","Montpellier",6300000,3600000,"Stephy Mavididi"
420890,"2022-06-30","21/22",475,39,"Sint-Truiden","1.FSV Mainz 05",0,850000,"Dimitri Lavalée"
162038,"2022-09-13","22/23",714,367,"Espanyol","Rayo Vallecano",1.1e+07,2.5e+07,"Raúl de Tomás"
358177,"2018-06-30","17/18",1085,720,"Vitória Setúbal","FC Porto",0,1e+06,"André Pereira"
170934,"2015-08-31","15/16",244,506,"Marseille","Juventus",0,3e+06,"Mario Lemina"
578539,"2021-06-30","20/21",533,27,"TSG Hoffenheim","Bayern Munich",0,7500000,"Chris Richards"
257805,"2015-12-31","15/16",6390,501,"Alta","Bodø/Glimt",0,50000,"Mathias Normann"
503743,"2023-07-07","23/24",9265,641,"Man City U21","Middlesbrough",1200000,1800000,"Morgan Rogers"
403315,"2019-01-01","18/19",1134,22767,"Ponte Preta","Red Bull",0,3e+05,"Claudinho"
627750,"2021-06-30","20/21",669,9265,"Partizan","Man City U23",0,6500000,"Filip Stevanovic"
617679,"2022-06-30","21/22",2424,1075,"Gil Vicente","SC Braga",0,1500000,"Zé Carlos"
394328,"2020-08-12","20/21",273,1301,"Stade Rennais","Marítimo",0,2700000,"Rafik Guitane"
222805,"2023-08-21","23/24",3302,232,"UD Almería","Spartak Moscow",5e+06,3500000,"Srdjan Babic"
187245,"2017-01-31","16/17",610,1123,"Ajax","Norwich",0,2750000,"Mitchell Dijks"
188650,"2017-07-01","17/18",1124,4057,"Fakel Voronezh","Luch-Energia",0,3e+05,"Dmitriy Tikhiy"
403568,"2020-01-24","19/20",3026,9043,"Morton","Celtic B",0,50000,"Stephen Welsh"
413605,"2018-06-30","17/18",4031,3522,"Cosenza","Spezia Calcio",0,350000,"David Okereke"
344294,"2023-01-27","22/23",10157,65768,"Aktobe","FC Aksu",0,5e+05,"Ramazan Orazov"
740732,"2022-04-02","21/22",48726,6251,"Rukh Lviv","KuPS",0,3e+05,"Talles Brener"
216608,"2017-09-07","17/18",820,10483,"Genclerbirligi","Hacettepe",0,350000,"Alaaddin Okumuş"
366930,"2024-07-12","24/25",281,681,"Man City","Real Sociedad",9e+06,1e+07,"Sergio Gómez"
260166,"2024-06-30","23/24",11282,703,"Alanyaspor","Nottm Forest",0,1800000,"Ui-jo Hwang"
165467,"2019-01-30","18/19",367,5648,"Rayo Vallecano","Gimnàstic",0,1e+06,"Stole Dimitrievski"
134999,"2022-08-23","22/23",234,200,"Feyenoord","FC Utrecht",0,1200000,"Jens Toornstra"
675555,"2022-09-10","22/23",128,3385,"AO Xanthi","Panserraikos",0,50000,"Alexandros Tsompanidis"
879631,"2023-08-14","23/24",1096,192,"Royal Antwerp","Roda JC",0,2e+05,"Laurit Krasniqi"
326300,"2021-06-30","20/21",417,1041,"OGC Nice","Olympique Lyon",0,2.2e+07,"Jeff Reine-Adélaïde"
383008,"2021-08-01","21/22",2990,19561,"Coimbra","Sertanense",0,1e+05,"Daniel Azevedo"
63494,"2015-07-06","15/16",148,1010,"Tottenham","Watford",8900000,7500000,"Étienne Capoue"
167556,"2019-02-12","18/19",660,18303,"Shakhtar D.","FC Oleksandriya",0,9e+05,"Vladyslav Kulach"
340967,"2017-07-20","17/18",11502,50755,"Galatasaray U21","Erbaaspor",0,50000,"Soner Gönül"
273738,"2018-06-30","17/18",1532,13,"Albacete","Atlético Madrid",0,5e+05,"Héctor Hernández"
412946,"2021-07-01","21/22",8817,499,"Ajax U21","Vitesse",0,150000,"Daan Reiziger"
40613,"2009-08-21","09/10",9250,990,"Chelsea Res.","Coventry",0,750000,"Jack Cork"
281404,"2020-09-08","20/21",631,16795,"Chelsea","Granada CF",0,9500000,"Kenedy"
236510,"2024-06-30","23/24",601,603,"KV Kortrijk","Cardiff",0,8e+05,"Sheyi Ojo"
620313,"2022-07-13","22/23",618,409,"Saint-Étienne","RB Salzburg",1.3e+07,1e+07,"Lucas Gourna-Douath"
289216,"2017-07-01","17/18",244,2503,"Marseille","Boavista",0,1e+06,"Stéphane Sparagna"
181768,"2018-06-30","17/18",618,964,"Saint-Étienne","Zenit S-Pb",0,4e+06,"Hernani"
1067225,"2023-07-26","23/24",18105,36949,"PFC Lviv","Dynamo Kyiv U19",0,50000,"Taras Mykhavko"
499604,"2023-05-31","22/23",1027,1031,"Bradford","Luton",0,2e+05,"Dion Pereira"
539738,"2023-07-01","23/24",61825,60551,"FC Minaj","SC Dnipro-1",0,4e+05,"Oleg Gorin"
231289,"2014-09-01","14/15",6600,720,"Internacional","FC Porto",2500000,2e+06,"Otávio"
193998,"2020-10-05","20/21",24575,13499,"HNK Gorica","Astra Giurgiu",4e+05,5e+05,"Dario Canadjija"
457673,"2017-07-10","17/18",2722,5587,"SPAL","Juve Stabia ",0,75000,"Gabriel Strefezza"
345458,"2019-01-16","18/19",1390,324,"Cagliari Calcio","Pogon Szczecin",0,2e+05,"Sebastian Walukiewicz"
217879,"2013-12-31","13/14",13716,8751,"1.SC Znojmo","Vikt. Plzen B",0,350000,"Patrik Hrosovsky"
232964,"2024-05-31","23/24",903,989,"Hibernian FC","Bournemouth",0,1500000,"Emiliano Marcondes"
667974,"2023-09-04","23/24",6371,2068,"FUS Rabat","Raja Casablanca",273000,375000,"El Mehdi Maouhoub"
284883,"2019-07-11","19/20",6182,498,"Valencia B","KSC Lokeren",0,3e+05,"Fran Navarro"
277635,"2021-06-30","20/21",1095,1082,"Troyes","LOSC Lille",0,2e+06,"Rominigue Kouamé"
358008,"2024-02-01","23/24",6195,1390,"Napoli","Cagliari Calcio",0,4500000,"Gianluca Gaetano"
679414,"2023-01-05","22/23",11997,1304,"Roma U19","Heracles Almelo",4e+05,1e+05,"Antonio Satriano"
198006,"2016-01-15","15/16",10331,2990,"FC Porto B","Coimbra",0,9e+05,"Rafa Soares"
344969,"2023-07-21","23/24",786,987,"AEL Limassol","Motherwell FC",0,5e+05,"Davor Zdravkovski"
199258,"2020-01-30","19/20",2722,6195,"SPAL","Napoli",16600000,1.8e+07,"Andrea Petagna"
387928,"2016-12-01","16/17",309,1023,"Paraná","Palmeiras",0,150000,"Lucas Taylor"
125165,"2022-01-14","21/22",720,368,"FC Porto","Sevilla FC",3e+06,2.2e+07,"Jesús Corona"
348795,"2020-07-01","20/21",150,148,"Real Betis","Tottenham",3.2e+07,4e+07,"Giovani Lo Celso"
1083164,"2024-08-25","24/25",1064,252,"Maccabi Haifa","Genoa",0,250000,"Lior Kassa"
